所用时间,1、您的性别,2、所在年级,3、平均每日睡眠时长,4、每周熬夜（0点后入睡）频率,5、每周运动次数（快走/跑步/球类/健身等）,6、单次运动时长,7、容易心慌、烦躁,8、莫名担心很多事情,9、入睡困难，容易失眠,10、精神紧绷，难以放松,焦虑总分
37,男,大一或准大一,7-8小时,每周4-5次,4,1.0,3,3,3,3,12
25,男,大三,6-7小时,每周2-3次,2,1.0,1,2,2,1,6
23,女,大一或准大一,7-8小时,每周2-3次,2,,2,2,2,2,8
58,男,大三,6-7小时,几乎不熬夜（≤1次）,2,1.0,2,3,2,2,9
26,男,大一或准大一,6小时以内,每周4-5次,2,1.0,1,1,1,1,4
47,男,大一或准大一,6-7小时,几乎不熬夜（≤1次）,4,3.0,2,2,2,2,8
97,男,大一或准大一,6-7小时,几乎不熬夜（≤1次）,6,,1,1,1,1,4
18,男,大一或准大一,7-8小时,几乎不熬夜（≤1次）,6,,1,1,1,2,5
23,男,大一或准大一,6-7小时,每周2-3次,2,1.0,4,4,4,4,16
21,女,大二,6-7小时,每周2-3次,2,1.0,3,2,3,3,11
31,女,大一或准大一,7-8小时,每周2-3次,2,1.0,2,2,2,2,8
36,女,大一或准大一,7-8小时,几乎不熬夜（≤1次）,4,,1,4,1,1,7
17,女,大四及以上,7-8小时,几乎不熬夜（≤1次）,4,,3,2,2,1,8
40,女,大一或准大一,8小时以上,每周2-3次,2,,2,3,4,4,13
91,男,大四及以上,8小时以上,每周4-5次,4,3.0,1,2,3,3,9
19,女,大四及以上,8小时以上,几乎不熬夜（≤1次）,4,1.0,2,2,2,2,8
77,女,大二,6-7小时,每周4-5次,4,,2,2,3,2,9
23,女,大一或准大一,8小时以上,几乎不熬夜（≤1次）,6,3.0,2,2,1,1,6
16,女,大一或准大一,7-8小时,每周2-3次,2,3.0,2,2,3,3,10
15,女,大三,7-8小时,每周4-5次,4,,2,3,2,3,10
27,男,大四及以上,6-7小时,每周6-7次,2,1.0,1,2,2,2,7
56,男,大三,7-8小时,每周2-3次,2,1.0,2,1,2,2,7
71,男,大四及以上,6小时以内,每周4-5次,4,,2,3,4,3,12
52,女,大四及以上,7-8小时,每周6-7次,1,1.0,3,3,3,3,12
26,女,大四及以上,7-8小时,每周6-7次,2,1.0,2,3,1,3,9
22,女,大三,6-7小时,每周6-7次,6,,2,3,2,3,10
21,女,大二,7-8小时,几乎不熬夜（≤1次）,2,,2,1,3,2,8
45,女,大三,6-7小时,每周2-3次,2,1.0,2,3,2,2,9
19,女,大四及以上,6-7小时,每周4-5次,4,,2,3,2,2,9
31,女,大四及以上,8小时以上,每周2-3次,4,,1,2,1,1,5
29,男,大一或准大一,6-7小时,几乎不熬夜（≤1次）,4,,2,2,2,2,8
22,女,大三,8小时以上,每周6-7次,1,1.0,3,2,2,1,8
